Phrasal Verb,Meaning,Example
do away,,
do in,Kill.,"After he reported the gang, he feared they"
do out of,Cheat somebody out of something that is,rightfully theirs.They lied on the reference and DID me
do up,"Close or fasten clothes, etc..",You must DO UP your safety belt in the
do up,Repair and renovate.,It took them six months to DO UP the
do with,Wish for or ask for (usually after can or,could).I could DO WITH a cold beer about now.
do without,Manage without something.,"There's no sugar, so you'll have to DO"
dob in,"Report someone to teachers, authorities,",etc.He DOBBED me IN to the teacher.
dob in,Contribute money.,Everyone DOBBED IN some cash to
dob in,Pressure someone into doing something.,"He needed some help, so DOBBED us"
dole out,"Give out, distribute.",They were DOLING OUT leaflets in
doss about,Spend time doing very little or being,unproductive.I couldn't get down to my work and
doss down,Sleep somewhere temporarily because you,"don't go home.I was feeling really tired, so I DOSSED"
double as,Have a second function or purpose.,My study DOUBLES AS a spare
double over,Bend over at the waist.,She DOUBLED OVER in pain after
double up,Bend over at the waist.,He DOUBLED UP in pain after being hit
double up,Share accommodation because there are,too many people.We had to DOUBLE UP because we
double up,,
doze off,Fall asleep.,The movie was a bit boring and I
drag on,Be unnecessarily long.,The meeting DRAGGED ON for two and
draw back,"Retreat, move backwards.",He DREW BACK when the dog barked.
draw down,Reduce levels.,The administration want to DRAW
draw down,Get funding.,The college wants to DRAW DOWN
draw down,To deplete by consumption or heavy,spending.Gas reserves were DRAWN DOWN in
draw even,Equalize one’s competitive position.,The exhausted horse DREW EVEN at the
draw in,Get dark earlier.,The nights are DRAWING IN now it's
draw in,Arrive at a station (for trains).,The train DREW IN and we got off.
draw into,Get involved in something unpleasant.,I didn't want to take sides because I didn't
draw on,Pass slowly (time).,"As the lesson DREW ON, the students"
draw on,"Inhale smoke from a cigarette, cigar, etc.",He DREW ON his cigarette and coughed.
draw out,Make something continue longer than,needed.The director DREW the meeting OUT
draw out,Make a shy person more outgoing.,"He was so quiet at first, but the teacher"
draw up,Prepare a contract.,The contract was DRAWN UP by our
draw up,When a vehicle stops.,The police car DREW UP alongside him
dream of,Not think or consider.,I wouldn't even DREAM OF telling her
dream up,"Invent something, have an idea.",They DREAMED UP the scheme for the
dredge up,Discover things about someone's past.,The newspapers DREDGED UP the
dress down,Dress casually.,The staff are allowed to DRESS DOWN
dress down,Scold.,She DRESSED me DOWN for being
dress up,Dress very smartly.,It's an informal party so there's no need to
drift apart,Slowly cease to be close to or friends with,someone.We were great friends at school but
drift off,Start to fall asleep.,I was DRIFTING OFF when the noise
drill down,Search through layers of information on a,computer.I really had to DRILL DOWN to get the
drill down,,
drill into,Repeat something many times to make,someone learn it.The teacher DRILLED the rules INTO
drink up,Finish a drink.,"DRINK UP, please; it's closing time."
drive away,Force an animal or someone to leave a,place.Their unfriendliness DRIVES customers
drive back,"Repulse, force back.",The police DROVE the crowd BACK to
drive by,Do something out of a car.,He was killed in a DRIVE-BY shooting.
drive off,Drive away from a place.,She slammed the car door shut and
drive out,Force someone to leave a place.,The soldiers DROVE them OUT of their
drive up,Make something increase.,The market uncertainty has DRIVEN
drive up,Arrive in a vehicle.,They DROVE UP just as we were about
drone on,Talk boringly for a long time.,The minister DRONED ON for an hour
drop away,"Become smaller- amount, numbers.",The numbers of people attending began
drop back,Move towards the back of a group.,"He stared at the front, but got tired and"
drop by,Pay a brief visit.,He DROPPED BY on his way home from
drop in,Visit without having made arrangements.,I was in the area so I DROPPED IN at the
drop off,Take something or someone to a place and,leave it or them there..I DROPPED the kids OFF at school on
drop off,Fall asleep.,I DROPPED OFF during the play and
drop off,Decrease in number or amount.,Sales have DROPPED OFF in the last
drop out,Quit a course.,She DROPPED OUT of college and went
drop over,Visit for a short time.,I'll DROP OVER on my way back.
drop round,"Visit someone, often without making an",arrangement.We DROPPED ROUND their house on
drop round,Deliver.,I DROPPED the papers ROUND so she
drown in,Cover excessively.,They DROWN the food IN sauce.
drown out,Be so loud that another sound cannot be,heard.The music DROWNED OUT the sound
drum into,To make someone learn or believe,something by constant repetition.They DRUM all the traps INTO you
drum out,Force someone out of their job or position.,They DRUMMED the minister OUT
drum up,Increase support or interest.,They are trying to DRUM UP support for
dry off,"Dry something quickly, or dry the surface.",I had a shower and DRIED myself OFF.
dry out,Stop drinking or taking drugs when,addicted.He checked into a clinic to DRY OUT
dry out,Dry something fully.,They DRIED the fruit OUT in the sun.
dry up,"Lose all the water from a river, lake,","source, etc.The lake DRIED UP because of the water"
dry up,Stop being supplied with something.,His income DRIED UP when cheaper
dry up,Be unable to speak.,She DRIED UP in the press conference.
dry up,"Dry plates, dishes, cutlery, etc, after",washing them up.I washed and DRIED UP.
duck out of,Avoid doing something.,He DUCKED OUT OF helping us last
duff up,Beat or hit someone repeatedly.,He was DUFFED UP in a night club last
dumb down,Reduce the intellectual level of something,in search of popularity.Television has been DUMBING DOWN
dump on,Treat someone badly.,Her boss DUMPS ON everyone when
dump on,"Criticize heavily, often unfairly.",She DUMPS ON her family a lot.
dump on,Tell someone your problems.,"When he';s depressed, he needs someone"
dwell on,Spend a lot of time on something.,The programme DWELLED ON little
dwell upon,Spend a lot of time on something.,She DWELT UPON the economic
ease off,Reduce pressure.,She EASED OFF the accelerator to let
ease up,"Relax, calm down.",She asked her teacher to EASE UP
eat away,Destroy slowly.,The disease EATS the liver AWAY .
eat in,Eat at home.,We didn't feel like going to a restaurant so
eat into,Use something valuable when you don't,want to.We've had to EAT INTO our savings
eat out,Eat in a restaurant.,We couldn't be bothered to cook so we
eat up,Eat all of something.,"If you don't EAT UP your greens, you"
eat up,Consume.,This car EATS UP petrol.
eat up,Consume something you don't want to be,The graphics EAT UP our bandwidth-
ebb away,Disappear gradually.,His life was EBBED AWAY as the illness
edge out,Gradually push someone or something out,of their position.The shareholders EDGED the CEO out
edge up,Approach slowly.,She EDGED UP behind the bus at the red
egg on,Encourage.,The other students EGGED him ON
eke out,Make something like money last as long,as possible.Most students have to EKE OUT their
embark on,Start a project or venture.,Piere EMBARKED ON an MBA at
insead last,autumn.,
empty out,Empty something completely.,I must EMPTY OUT the rubbish before I
empty out,Remove some things or everything from a,container.I EMPTIED some of the coffee OUT so I
end in,Finish a certain way.,It'll END IN tears.
end up,Become or do something unplanned.,We couldn't get tickets for Egypt so we
end up with,Get as a result of something.,He tried hard but ENDED UP WITH a
enter for,Join or enter a competition.,They ENTERED FOR the national
enter into,Become involved in or accept.,They ENTERED INTO an agreement
eye up,Look carefully at someone.,The guy EYED the other man UP because
face off,Confront.,The company FACED OFF the
face up to,Accept an unpleasant truth.,Many people find it hard to FACE UP TO
faff about,Behave indecisively.,He told her to stop FAFFING ABOUT
faff around,Behave indecisively.,She told him to stop FAFFING AROUND
fall about,Laugh a lot.,We FELL ABOUT when we heard what
fall apart,Break into pieces.,The box FELL APART when I picked it
fall apart,Become emotionally disturbed and unable,to behave normally.He FELL APART when they sacked him.
fall back,Retreat.,The army FELL BACK after losing the
fall back on,Be able to use in an emergency.,It was good to have some money in the
fall behind,Make less progress.,I was ill for a week and FELL BEHIND
fall down,Fall on the ground.,I slipped on the ice and FELL DOWN.
fall down,Have a weak point.,The argument FALLS DOWN when you
fall for,"Be attracted to somebody, fall in love.",He FELL FOR her the moment their eyes
fall for,Believe a lie or a piece of deception.,He FELL FOR my story and allowed me
fall in,Collapse.,The ceiling FELL IN hurting a lot of
fall into,Start doing something unplanned.,I just FELL INTO my job when an
fall off,Decrease.,The membership FELL OFF dramatically
fall out,Argue and be on bad terms with someone.,They FELL OUT over the decision and
fall out,Lose hair.,He's started getting worried about
fall over,Fall on the ground.,I slipped on the ice and FELL OVER.
fall under,Become controlled.,"At first he was independent, but then he"
farm out,Give or contract work to someone else.,The company wants to FARM OUT their
fart about,Waste time doing silly things.,The manager was angry because the staff
fart around,Waste time doing pointless things.,We were really bored in the lecture so we
fasten on,Give attention to something that confirms,your beliefs.They have FASTENED ON the speech as
fasten onto,"Follow someone closely, normally when",they don't want your company.He FASTENED ONTO the minister on
fasten onto,Give attention to something that confirms,your beliefs.They FASTEN ONTO any figures that
fasten up,"Close, attach.",FASTEN UP your seatbelts.
fathom out,Understand something.,I couldn't FATHOM OUT what she
fatten up,Give an animal a lot to eat to make it fat.,They FATTEN the cows UP before
fawn on,Praise someone in an excessive way to get,their favour or something from them.He's always FAWNING ON his boss to
fawn over,Praise someone in an excessive way to get,their favour or something from them.She FAWNED OVER the inspectors in
feed off,Eat a food as part of an animals diet.,The gecko FEEDS OFF mosquitoes and
feed off,Use something to your advantage.,He FEEDS OFF people's fear of crime to
feed on,Grow stronger.,The opposition party's FEEDING ON the
feed on,Consume in an animal's diet.,The bats FEED ON insects.
feed on,Give someone a particular food.,He FEEDS his cat ON dry food.
feed up,Give someone a lot of food to restore their,"health, make them bigger, etc.She's been ill for a fortnight so we're"
feel up,"Touch sexually, grope.",Someone FELT me UP in the club as I
feel up to,Feel capable of doing something.,I'm so tired. I don't think I FEEL UP TO
fence in,Enclose an area.,They FENCED the whole garden IN.
fence off,Enclose an area to keep animals or people,out.They FENCED OFF one side of the park
fend for,Take care of yourself or someone with,help from other people.The children had to FEND FOR
fend off,Resist something successfully.,He managed to FEND OFF the criticism
fend off,Push an attacker away.,She FENDED OFF the dog when it
ferret out,Search and discover something.,The investigation finally managed to
fess up,"Confess, admit something reluctantly.",The company FESSED UP after they
fess up,Give.,FESS UP your share of the bill.
fess up to,"Confess, admit reluctantly to something.",They FESSED UP TO the crime.
fiddle away,Waste time.,He FIDDLED AWAY the afternoon.
fight back,"Defend yourself, resist an attack.",The army attacked the town and the
fight back,Try to control and emotion and keep it,He tried to FIGHT BACK the tears when
fight it out,"Struggle to see who wins, both by arguing",or fighting.Their FIGHTING IT OUT to see who
fight off,Fight an attacker and force them back.,The old lady managed to FIGHT the
fight off,Resist an illness or emotion.,I'm FIGHTING OFF a cold.
figure on,"Plan, expect.",What job do you FIGURE ON doing
figure out,Find the answer to a problem.,The police couldn't FIGURE OUT how
file away,Put a document in the correct place for,storage in a filing system.I FILED a copy of the letter AWAY for
file for,"Apply for something legally, like divorce",or bankruptcy.They FILED FOR divorce after two years
fill in,Complete a form.,I FILLED IN the application form and
fill in,Substitute someone at work.,"She's just had a baby, so we have hired"
fill in for,Substitute.,"I was away for a few days, so they had to"
fill in on,Give someone information.,I'm sorry I missed the meeting; could you
fill out,Complete a form.,I FILLED OUT the application form and
fill up,Fill something completely.,I stopped at the garage and FILLED UP
filter in,Move into a lane of traffic without making,other cars stop.The slip lane allows traffic to FILTER IN
filter out,Remove something unwanted.,It FILTERS OUT all the impurities and
find out,Discover.,I went to the library to FIND OUT all I
finish off,Finish completely.,They FINISHED OFF all the chocolates
finish off,"Kill a person or animal, often when they","have already been hurt.The animal was badly hurt, so they"
finish off,"Beat, make victory certain in sport.",The second goal FINISHED them OFF.
finish off,Consume all.,We FINISHED OFF the coffee and had to
finish up,"Finally get somewhere, usually without",planning to go there.We went out for diner and FINISHED UP
finish up,,
finish with,End a relationship.,She FINISHED WITH him a few months
finish with,Stop dealing with someone.,He wanted to leave but I was furious and
finish with,Finish using or requiring.,Can I read the paper when you've
fink on,Give away secrets about someone.,He FINKED ON her to the authorities.
fink out,"Fail to keep a promise, arrangement, etc.",He said he'd come with us then FINKED
fire away,Ask questions.,What do you want to know? FIRE AWAY
fire off,"Send quickly, angrily or many (letter,","emails, etc).He FIRED OFF an email complaining"
fire off,"Shoot, fire a gun (usually repeatedly).",The police FIRED OFF several rounds
fire up,Start a computer.,She FIRED UP the computer and printed
fire up,"Excite, become excited.",Everyone was FIRED UP and desperate
firm up,Make things clearer in a negotiation or,discussion.We need to FIRM UP some aspects of the
firm up,Exercise to make muscles harder and,remove fat.I go swimming every day to FIRM UP
fish for,Try to get some information or to get,someone to say something.He's always FISHING FOR compliments.
fish out,"Remove something from a bag, pocket,",etc.She reached into her handbag and
fish out,"Remove from water, such as the sea,","rivers, etc.It's fallen in the pool- I'll have to FISH it"
fit in,Get on in a group of people.,I didn't FIT IN with the other people
fit in,Have enough time or space for something.,I didn't have time to FIT IN another
fit in with,Be convenient or occur conveniently.,"They're not arriving until Thursday,"
fit in with,Occur or happen in a way that shows that,plans or ideas have not changed.His rudeness yesterday FITS IN WITH
fit into,Become part of.,Their ideas didn't FIT INTO our plans.
fit out,Provide with necessary equipment.,They FITTED OUT the boat for the race.
fit out with,Provide someone with necessary,equipment.They didn't FIT the troops OUT WITH
fit up,Frame someone- make them look guilty of,something they haven't done.The police FITTED him UP for dealing
fit up,Provide equipment.,They FITTED us UP with the latest IT.
fix up,Make an arrangement.,He FIXED UP an appointment for me to
fizzle out,End in an unsuccessful way.,"The campaign started well, but FIZZLED"
flag down,Signal at a vehicle to get it to stop.,The police officer FLAGGED the car
flag up,"Raise an issue, or highlight its importance.",We should FLAG UP working conditions
flake out,Fall asleep from exhaustion.,I worked till midnight then FLAKED
flame out,Fail.,The company FLAMED OUT in the
flame up,Burn brightly.,The wood FLAMED UP in the fire.
flare out,Get angry suddenly.,He FLARED OUT when he saw the
flare up,When trouble suddenly appears.,The argument FLARED UP when he was
flesh out,Add more details or information.,The recent government report FLESHED
flick over,Change,TV channels quickly.She FLICKED OVER to see if the news
flip off,Extend your middle finger as a gesture of,"contempt.When the police were walking away, he"
flip out,Become very excited and lose control.,He FLIPPED OUT when he won the
flog off,Sell something cheaply to get rid of it.,The council FLOGGED OFF the land
floor it,Drive a vehicle as fast as possible.,She FLOORED IT when the police
flounce off,Leave a place or walk away from someone,angrily.He FLOUNCED OFF when they laughed
flounce out,Leave a place angrily.,He FLOUNCED OUT when the press
fluff out,Shake or pat a cushion so that it fills with,air.She FLUFFED OUT the sofa cushions.
fluff up,Shake or pat a cushion so that it fills with,air.He FLUFFED UP the pillow before going
fly about,"Circulate (rumours, etc).",The rumour has been FLYING ABOUT
fly around,"Circulate (rumours, etc).",There are a lot of stories FLYING
fly at,Attack.,The dog FLEW AT the cat when it came
fly at,Criticise or shout angrily.,He FLEW AT them for not trying hard
fly by,When time appears to move quickly.,"As I get older, the years just FLY BY."
fly into,Change emotion quickly.,He FLEW INTO a rage.
fob off,Make or persuade someone to accept,something.I FOBBED it OFF Paul.
fob off,Lie or deceive someone.,He FOBBED us OFF with a really stupid
fob off on,Make or persuade someone to accept,something you don't want.I FOBBED the work ON the others.
fob off onto,Make or persuade someone to accept,something you don't want.I FOBBED the fake note ONTO a
fob off with,Make or persuade someone to accept,something of lower quality than they
focus on,Concentrate.,The report FOCUSES ON the company's
fold up,Make a sheet of paper smaller.,Darren FOLDED UP the letter and put it
follow on,Leave to meet someone after they have,left the place you're at.He left an hour ago and I'll be
follow on,"In cricket, if the second team to bat doesn't","score enough runs, it has to bat again.They were over 200 runs behind and had"
follow on,,
follow up,Do something to check or improve an,earlier action.He FOLLOWED UP the meeting with a
follow up,Find our about a problem and act.,The police didn't FOLLOW UP the
fool about,Not be serious.,They were FOOLING ABOUT and
fool about,Be unfaithful.,Their marriage broke down because he
fool around,Not be serious.,The teacher was angry because the class
fool around,Be unfaithful.,She suspects her husband is FOOLING
fool with,Play with something dangerous.,Don't FOOL WITH that- it could explode.
forge ahead,Make a lot of progress in a short time.,We've been FORGING AHEAD with the
forge ahead,Move forwards very quickly.,She FORGED AHEAD of the other
freak out,Become very disturbed or angry.,She FREAKED OUT completely when
free up,Make money or time available by not,"using it elsewhere.If we get the work done tonight, it will"
free up,Do work or a task for someone to make,"them available for something.If you proofread this text, it will FREE"
freeze out,Shut out or exclude by unfriendly,treatment.They tried to FREEZE me OUT of the
freeze out,Force to retire or withdraw from,"membership, a job, etc.After Jim was FROZEN OUT of the case,"
freeze over,"Become covered with ice (lake, river,","pond, etc).The winter was very severe and the lake"
freeze up,Be blocked with ice.,The pipes all FROZE UP so no water
freeze up,Stop working because the parts of a,machine won't move.The gears had FROZEN UP.
freeze up,When a computer stops working.,The computer FROZE UP; it showed me
freeze up,Be paralysed with fear.,WE FROZE UP when we heard the
freshen up,Wash quickly and improve appearance.,I'm going to the bathroom to FRESHEN
freshen up,Add more alcohol to a glass before it is,"empty.Here, let me FRESHEN UP your drink."
freshen up,Quickly improve the appearance of,something.The magazine gives you tips on how to
frighten off,Scare someone so much that they go away.,The dog FRIGHTENED the burglars
frighten off,Scare or worry someone enough to stop,them doing something they had planned.The crash in share prices FRIGHTENED
front for,"Represent someone, especially when",covering illegal or wrongful activities.The solicitor FRONTS FOR a number of
front off,Confront someone and let them know you,are prepared to fight.The two guys FRONTED each other
front onto,Face (of a building).,My house FRONTS ONTO the main
front out,"Face up to someone, withstand criticism.","He accused her of lying, but she"
front up,Appear somewhere for a short time.,"I hate these occasions, but I'll FRONT UP"
front up,Advance cash for something.,She FRONTED UP the money we
frown on,Disapprove.,He FROWNS ON people making
fuel up,Put petrol or other fuel into a vehicle.,We stopped to FUEL UP before the car
gad about,Visit a lot of different places for pleasure.,I spent the afternoon GADDING ABOUT
gad around,Visit different places for pleasure.,I spent the afternoon GADDING
gag for,Want something a lot.,I'm GAGGING FOR a drink.
gang up,Form a group against something or,someone.They GANGED UP to try to stop the new
gang up,,
gang up on,"Harass, bully.",They GANGED UP ON him because of
gear to,Organise or arrange something for a,"particular purpose, audience, etc. (Often"
gear up,Get ready for a busy period.,The shops are GEARING UP for the New
year sales,.,
geek out,Talk at length about computing.,Henry always GEEKS OUT at parties and
get about,Visit many places.,I GET ABOUT a lot with my job- last
get about,Become known.,It didn't take long for the news to GET
get about,Walk or visit places.,"She can't GET ABOUT much, but she is"
get about,Have personal or sexual relationships with,many people.She GETS ABOUT a bit; she's always
get above,Behave as if you are better or more,important than others.She's been GETTING ABOVE
get across,Communicate successfully.,I just couldn't GET my message
get across,Go from one side to the other.,It's impossible to GET ACROSS the road
get across,Move something from one side to the,other.How are we going to GET these bags
get across,,
get after,Nag or exhort someone.,You should GET AFTER them to finish
get after,Chase.,GET AFTER her and give her the
get ahead,Progress.,"Nowadays, you need IT skills if you want"
get ahead,,
get along,Have a good relationship.,Why don't you two GET ALONG? You're
get along,Leave.,It's late; we must be GETTING ALONG.
get along,Progess.,How's the homework GETTING
get along in,Progress.,How are you GETTING ALONG IN the
get along,,
get along,,
get around,Become known.,It didn't take long for the news to GET
get around,Visit many different places.,He GETS AROUND a lot- he's always
get around,Walk or go to places.,He's finding it hard to GET AROUND
get around,Avoid a problem.,"It'll be tricky, but we will find a way to"
get around,"Persuade, convince.",She didn't want to accept my application
get around,Have personal or sexual relationships with,many people.He GETS AROUND a bit; he's always
get around,,
get at,Criticise.,His boss is always GETTING AT him for
get at,Mean.,What do you think she's GETTING AT?
get at,"Be able to reach, find, access.",It's on the top shelf and I can't GET AT it.
get at,"Use threats, payments, bribes, etc, to affect","someone's testimony or decision.The gangsters GOT AT the jury, who"
get away,Escape.,"The robbers GOT AWAY in a stolen car,"
get away,Go on holiday or for a short break.,We love to GET AWAY from everything
get away,"Move, leave somewhere.",He didn't come because he was stuck at
get away,,
get away,,
get away,,
get away,,
get away,!,"An expression of disbelief.""I passed."" ""GET AWAY! You couldn't"
get back,Return.,The train was held up so we didn't GET
get back,Return something.,Don't lend him any money; you'll never
get back,Revenge.,"He was rude and embarrassed me, but I'll"
get back,Move away.,The police told the crowd to GET BACK
get back at,Take revenge.,I'll GET BACK AT her for landing me in
get back,,
get back,,
get back to,Respond to a contact.,I'll GET BACK TO you as soon as I hear
get back to,Respond when you know the answer.,"I don't know at the moment, but I will"
get back to,Start doing something again after an,interruption.It took me ages to GET BACK TO sleep
get back,,
get behind,Support.,All the students GOT BEHIND the
get behind,,
get by,Have just enough money to live on.,They're finding it increasingly difficult to
get by,"Not be noticed (problems, errors, etc).","I had checked it, but there still were a few"
get by on,Manage on a certain amount of money.,It's hard to GET BY ON my salary.
get by with,Have enough of something to do the job.,We should be able to GET BY WITH
get down,"Make someone depressed, unhappy,","exhausted, etc..The miserable weather in winter really"
get down,"Write, record.",I couldn't GET DOWN everything he
get down,Manage to swallow.,The medicine tasted horrible and it was
get down,"Descend, leave a vehicle.",The trained pulled in and we GOT
get down,Leave the table after eating.,"When they had finished dinner, the"
get down,Reduce.,The doctor says I my GET my cholesterol
get down,Have an affair or sexual relations.,They GOT DOWN at the party last week.
get down,,
get down to,Start working seriously.,I find it extremely difficult to GET
get down to,Enjoy something a lot.,People were GETTING DOWN TO the
get in,Arrange for someone to do a job in your,"home, workplace, etc.The air conditioning has broken down;"
get in,"Arrive (train, plane, etc.).",Her plane GETS IN at 2am our time.
get in,Arrive home.,She didn't GET IN till well after twelve
get in,Enter a car or taxi.,The taxi pulled up and we GOT IN.
get in,"Buy or obtain supplies, like food.",We need to GET some coffee IN; we're
get in,"Arrive at work, school, home.",I GOT IN late today because the train
get in,Enter a building or place.,I borrowed her pass to GET IN.
get in,Be elected.,The government GOT IN with a very
get in,Manage to say or do.,I couldn't GET a word IN throughout the
get in,"Be admitted to a university, club, etc.",He did badly in the entrance exam and
get in,Bring inside a place.,It's raining; I'd better GET the washing
get in,"Submit, apply.",We have to GET the forms IN by the end
get in,Pay for drinks.,He GOT the drinks IN.
get in on,Become involved.,The company tried to GET IN ON our
get in with,"Become friendly with, ingratiate with.",I tried to GET IN WITH them as I
get into,Become involved or interested.,She's been GETTING INTO dance music
get into,Become involved in something bad or,criminal.He GOT INTO drugs when he was at
get into,Be accepted or admitted.,She did well and GOT INTO Cambridge
get into,Become or be accepted as a member.,He GOT INTO the first team for football.
get into,Start a habit or way of acting or behaving.,It took me ages to GET INTO driving on
get into,Be small enough to wear something.,I couldn't GET INTO the boots; they
get into,Criticise.,He GOT INTO me for doing it badly.
get it,Be punished or scolded.,"If you don't stop that right now, you'll"
get it off,Have sex.,They GOT IT OFF at the party.
get it,off,
get it on,Become interested or excited.,The talk was dull and nobody GOT IT
get it on,Have sex.,Did you two GET IT ON?
get it,on,
get it,,
get it,,
get it up,Become aroused (of a man).,He couldn't GET IT UP and felt very
get off,Escape punishment.,He GOT OFF on a technicality and left
get off,"Leave a bus, train, etc..",We GOT OFF the bus and walked to my
get off,"Finish, leave work.",I like to GET OFF early on Fridays.
get off,Start a journey.,We need to GET OFF early to avoid the
get off,Help a baby or child sleep.,I can't GET the kids OFF because of the
get off,"Orgasm, have sex.",We GOT OFF last night.
get off,Manage to fire a gun.,She GOT OFF a few shots before she was
get off,Stop talking on the phone.,Let me know when he GETS OFF the
get off,"Write or send letters, messages, etc.",I GOT three emails OFF before the
get off,Say or write something funny.,She GOT OFF some jokes at the start of
get off it,"A way of expressing disbelief, or telling",someone that they're wrong or have an
get off on,Enjoy a drug.,He GETS OFF ON crystal meth every
get off on,Become excited by.,She GETS OFF ON her power over us.
get off with,Have casual sex with.,He GOT OFF WITH her at the party.
get off,!,"Don't touch, leave alone.If he bothers you, just tell him where to"
get on,Continue doing something.,The teacher asked the pupils to GET ON
get on,"Enter a bus, train, plane, etc..",We GOT ON the train at Plymouth and
get on,"Make progress, deal with something with",a reasonable degree of success.How are you GETTING ON with your
spanish lessons,?,
get on,Have a good relationship.,We have always GOT ON well.
get on,"Become old, age.",He's GETTING ON now and doesn't
get on,Be late or near an arranged time.,I must get home now; it's GETTING ON.
get on,"Wear, fit.",I have put so much weight on that I
get on,Leave.,I must be GETTING ON; I have other
get on at,Criticise unfairly.,He's always GETTING ON AT me when
get on for,Be near a time.,It's GETTING ON FOR midnight.
get on to,Start to suspect.,It took the authorities a long time to GET
get on with,Have a good relationship.,"Fortunately, I GET ON WITH my boss."
get on with,Continue or start doing something.,She told us to GET ON WITH our work.
get onto,Start discussing a topic.,We didn't GET ONTO the third item on
get onto,"Be elected, appointed.",He didn't GET ONTO the committee.
get onto,Appear on the radio or,TV.He GOT ONTO every major channel
get onto,Contact someone because you need or,want them to do something.We'd better GET ONTO someone to fix
get onto,"Enter a plane, train, etc.",She GOT ONTO the plane just before it
get out,Leave the house to visit place and,socialise.She doesn't GET OUT much now she has
get out,Become known when people want it to,remain secret.The truth GOT OUT despite the
get out,"Leave a place, escape.",The dog GOT OUT because I left the
get out,Remove something from where it is stored,to use it.I GOT the car OUT so that we could load
get out,Remove dirt or something unwanted.,I spilled some red wine on my carpet and
get out,"Publish, make available for the public to",see or buy.We have to GET the report OUT by the
get out,Say what you want when it is difficult.,He was so upset he couldn't GET the
get out of,Avoid doing something you dislike.,I said I wasn't feeling well and GOT OUT
get out of,"Leave a car, van, etc..",We GOT OUT OF the taxi and paid the
get out of,Stop a regular activity or habit.,"If you GET OUT OF a routine, it can be"
get out of,Make someone confess or tell the truth.,The police couldn't GET any information
get out of,Make someone give something to you.,Did you GET a refund OUT OF the travel
get out of,Derive pleasure or benefit from,something.She's GETTING a lot OUT OF her
get out of,Help someone avoid doing something.,I GOT him OUT OF having to work at
get out,!,Expression of disbelief. 'I got 100% on the test.''Get out!'
get over,"Recover from something, feel better.",It took me ages to GET OVER the bout
get over,"Solve, find a solution.",It took us a long time to GET OVER the
get over,"Communicate, make people understand.",He makes jokes to help GET his message
get over,Be shocked or surprised that something if,real or true.I couldn't GET OVER how much weight
get over,Get to the other side.,We couldn't GET OVER the river
get over,Come somewhere.,He said he needed help and ask me to
get over,,
get round,Become known.,"I don't want this to GET ROUND, so"
get round,Find a solution.,"We're nearly ready, but there are few little"
get round,,
get round,,
get through,Contact.,"I tried calling her mobile phone, but I"
get through,Consume.,He GETS THROUGH two bottles of
get through,Finish.,I'm going to take some work home
get through,Succeed in an exam or test.,My car didn't GET THROUGH its
get through,Help someone or something succeed or,pass a test or exam.My teacher GOT me THROUGH the
get through,Endure or deal with a difficult experience.,We will have to be careful with our
get through,"Be accepted or passed (laws, proposals,","etc).If the proposal GETS THROUGH, it'll"
get through,Manage to pass.,The water GOT THROUGH the roof and
get through,Arrive.,The message didn't GET THROUGH.
get through,,
get through,,
get through,,
get to,"Annoy, irritate.",Don't let her GET TO you; she's just in a
get to,Arrive.,"When I GET TO it, I'll look at the matter"
get to,Start discussing a topic.,"We asked him to GET TO the point, but"
get to,Have the opportunity to do something.,Last June I GOT TO visit Stonehenge.
get up,Get out of bed.,"I GET UP at seven o'clock on weekdays,"
get up,Organise.,They GOT UP a list of two hundred
get up to,Do something wrong or naughty.,The children are always GETTING UP
ghost away,Remove someone secretly of discreetly.,They GHOSTED him AWAY to a secret
gin up,"Boost, increase or exaggerate.",The candidates tried to GIN UP support at
ginger up,Make more lively.,They tried to GINGER UP the party to
give away,Entrust your daughter to her husband,through the marriage ceremony.He GAVE his daughter AWAY and told
give away,"Tell a secret, often unintentionally.",She didn't GIVE anything AWAY about
give away,Distribute something for free.,"In this issue of the magazine, they are"
give away,Give without asking for or expecting,payment.He decided to GIVE his new album
give away,Give an advantage to your opponent in a,"sport by making a mistake, playing badly,"
give away,Give an unwanted baby to people to bring,up.She had to GIVE her baby AWAY as she
give away,"Betray, report to authorities.",The gang GA VE him AWAY to the police.
give away,Give a weight advantage to an opponent in,boxing.He is GIVING AWAY thirty pounds to
give back,Return something you've borrowed.,I GAVE the money BACK that she'd lent
give back,Return something that someone has lost.,Nothing could GIVE me BACK the way I
give in,Stop doing something because it's too hard,or requires too much energy.I couldn't finish the crossword puzzle and
give in,"Submit homework, etc..",The projects have to be GIVEN IN three
give in,"Surrender, accept defeat.",They GA VE IN when the police
give in,"Offer or submit for judgement, approval.",They GA VE IN their complaint to the
give in to,Agree to something you don't like.,The government says it will not GIVE IN
give in to,Allow a feeling or desire to control you.,"Eventually, I GAVE IN TO my anger and"
give it to,Criticise harshly or punish someone for,something.They really GA VE IT TO me for
give it,up,
give of,Contribute without expecting anything in,"return, usually time or money.He GIVE OF his free time to help the"
give off,Emit pollution or something else,unpleasant.The police stopped the van because it was
give off,Behave in a way that makes people think,of you in a certain way.She GIVES OFF an air of nobility.
give off,Expand.,The company is GIVING OFF all over
give off,Follow or take one of 2 or more branches,"(instructions, in machine code) in writing"
