Phrasal Verb,Meaning,Example
be up to,Be good enough.,He's not UP TO the job; get someone
be up to,Doing something naughty or wrong.,What are those kids UP TO?
bear down,,
bear on,"Influence, affect.",The judge's character may well BEAR
bear out,Confirm that something is correct.,Statistics BEAR OUT the government's
bear up,Resist pressure.,How are you BEARING UP under the
bear up,,
bear with,Be patient.,Please BEAR WITH me a moment while
beat down,Strong sunshine.,The sun WAS really BEATING DOWN
beat down,Get someone to lower the price of,something.I managed to BEAT him DOWN to fifty
beat out,Narrowly win in competition.,The marathon runner barely BEAT OUT
beat up,Attack violently.,The mugger BEAT him UP and stole his
bed down,Sleep somewhere less comfortable than,normal.We had to BED DOWN on the floor for
bed down,Become established or successful over,time.The new government has found it hard to
bed out,Move a plant outside.,I BEDDED the plants OUT when the
beef up,Make something stronger or more solid.,The company BEEFED UP their case
belong to,Be a member.,He BELONGS TO a secret society.
belong to,"Be connected to a time, place, belief,","thing, etc.Their ideas BELONG TO the nineteenth"
belong with,Be in the correct or appropriate location,with other items.Does this disc BELONG WITH those on
belt out,Sing something loudly.,They BELTED OUT the national anthems
belt up,Be quiet.,She told the students to BELT UP because
belt up,Fasten your seatbelt.,I told the kids to BELT UP before I
bend down,Lower the top half of your body.,I BENT DOWN to pick it up off the floor.
bend over,Lower the top part of your body.,I BENT OVER to do my shoes up.
bend over,,
big up,Exaggerate the importance.,He BIGS himself UP all the time.
big up,Increase the size of muscles by exercise.,They work out a lot to BIG themselves
bitch up,Spoil or ruin something.,I BITCHED UP the interview.
black out,Fall unconscious.,He BLACKED OUT and collapsed on the
black out,Lose light.,Everything BLACKED OUT when the
blank out,Censor text so that words cannot be read.,The email addresses were BLANKED
blank out,Have a temporary memory failure.,I was so nervous in the interview that I
blare out,A loud sound or music.,The music was BLARING OUT and I
blast off,Leave the ground- spaceship or rocket.,The space shuttle BLASTED OFF on
blaze away,Fire a gun repeatedly.,The shooters BLAZED AWAY at the
bleed out,Cause sufficient blood loss to result in,death.They BLED OUT their calves.
bliss out,Be extremely relaxed and happy.,I BLISSED OUT on the beach all week.
block in,Park a car and obstruct another car.,I couldn't drive here this morning because
block in,Shade or fill in.,He BLOCKED IN the events in his
block off,Obstruct an exit to prevent people from,leaving.The police BLOCKED OFF the road
block out,Stop light from entering or leaving.,The trees BLOCK the sun OUT most of
block out,Try not think about or feel something,because it is upsetting or painful.It was so unpleasant that I try to BLOCK
block up,Fill a space so that nothing can pass.,The pipe's BLOCKED UP and no water
blow away,Kill.,He grabbed a gun and BLEW the police
blow away,Beat rivals or competitors by a large,margin.Their new product has BLOWN all the
blow away,Impress greatly.,Her first novel BLEW me AWAY .
blow away,When the wind moves something from a,place.The flag BLEW AWAY in the storm; we'll
blow down,When the wind forces something to fall.,A tree was BLOWN DOWN in the storm.
blow in,"Arrive, sometimes suddenly or",unexpectedly.He BLEW IN from Toronto early this
blow off,Not keep an appointment.,"We were going to meet last night, but she"
blow off,"Ignore, not do something.",I BLEW the homework OFF and did
blow off,Expel gas from the anus.,He BLEW OFF in front of everybody.
blow out,"Extinguish candles, matches, etc..",She BLEW the candles OUT on her
blow out,Defeat decisively.,The Broncos BLEW OUT the Raiders 55-
blow over,When a scandal gets forgotten.,The scandal BLEW OVER within a
blow up,Explode.,The bomb BLEW UP without any
blow up,Inflate.,"The pressure was low, so I BLEW the"
blow up,"Enlarge (e.g., photograph)..",BLOW UP that photo so we can see his
blow up,The beginning of a storm.,A storm BLEW UP while we were out
blow up,"Lose your temper, become angry.",They BLEW UP when they heard what I
blurt out,"Say something quickly without thinking,",especially if you shouldn't.I was really angry when he BLURTED
board out,Arrange for pets to stay somewhere while,you're away.We BOARD our dog OUT with friends
board up,"Cover windows or doors with wood,","metal, etc..They BOARDED UP all the windows to"
bog down,Slow make progress.,Yasini got BOGGED DOWN in his
bog in,Eat enthusiastically.,We were starving and BOGGED IN when
bog into,Eat something enthusiastically.,They BOGGED INTO the lunch.
bog off,!,Get lost.He lost his temper and told her to BOG
boil down,"Simplify, reduce to the essentials.","The report's so long, I BOILED it DOWN"
boil down,,
boil over,When a hot liquid spills out of a container.,I left the milk on the cooker and it
boil over,When people lose their tempers and things,get nasty.The tension had been building up and it
boil up,Feel a negative emotion strongly.,The anger BOILED UP in me when I saw
boil up,Cook or heat something to boiling point.,I BOILED UP some water for a cup of
bolster up,"Give support, reinforce, strengthen.",We were all scared but she BOLSTERED
bone up,Study hard for a reason.,I will have to BONE UP to get a good
bone up on,Study hard for a goal or reason.,I need to BONE UP ON my French
book in,Make a reservation in advance.,I'll BOOK us IN at the Intercontinental.
book in,Check in at a hotel.,WE took a taxi from the airport to the
book into,Make a reservation in advance.,I've BOOKED us INTO a hotel in the
book into,Check in at a hotel.,We BOOKED INTO the first hotel we
book out,Leave a place in a hurry.,I don't like the look of the people
book up,Reserve.,The flight's fully BOOKED UP; I'll have
boot up,Start a computer.,He BOOTED UP the computer and
border on,Be located next to a place.,Portugal BORDERS ON Spain.
border on,Be very nearly something.,What he did was BORDERING ON
boss about,Use excessive authority to control people.,She BOSSES everyone ABOUT.
boss around,Use excessive authority to control people.,He BOSSES everyone AROUND.
botch up,Ruin or spoil something.,I BOTCHED UP the whole project and it
bottle away,Store up.,He kept his feelings BOTTLED AWAY.
bottle out,Lack courage to do something.,She was going to tell her boss exactly
bottle up,Not express your feelings.,She BOTTLED UP her feelings even
bottom out,Pass the lowest point and start rising.,The recession BOTTOMED OUT and the
bounce into,Force someone.,They have BOUNCED the government
bounce off,Test ideas.,They BOUNCED ideas OFF each other
bowl out,Hit someone's wicket in cricket with the,ball.He BOWLED the player OUT first ball.
bowl over,Surprise someone greatly.,I was BOWLED OVER by the news.
bowl over,Knock someone to the ground.,He was BOWLED OVER by the crowd
box in,"Prevent something from moving,",especially vehicles.I was BOXED IN by the bus and couldn't
box up,Pack things in boxes to move them.,"At the end of term, I BOXED my books"
brace up,Feel more confident or optimistic about,something.You should BRACE UP and stop
branch out,"Move into a different area of business,",etc..The supermarkets have BRANCHED
break away,"Leave an organisation, usually to form a",new one.The SDP BROKE AWAY from the
break down,End negotiations unsuccessfully.,The talks between management and the
break down,Start crying.,He BROKE DOWN in tears.
break down,Stop working.,"My car's BROKEN DOWN, so I came by"
break down,Remove a barrier or obstacle.,He had to BREAK DOWN their
break in,Go into a building to steal something.,The burglars BROKE IN and stole the TV
break in,Interrupt something.,I'm sorry to BREAK IN on your
break in,Train a horse to be ridden.,It took ages to BREAK the horse IN.
break in,Carefully use new products until they are,fully functional..I must watch my speed until I BREAK IN
break off,Break a piece from something.,She BROKE OFF a square of chocolate
break off,End a relationship.,She BROKE OFF their engagement when
break out,"Start (war, conflict).",They're worried that war will BREAK
break out in,"Sweat heavily, develop skin sores or",irritation..The measles caused me to BREAK OUT
break out of,Escape.,Three dangerous Category A prisoners
break up,Break into many pieces.,The plate BROKE UP when he dropped it
break up,Close an educational institution for the,holidays.Schools BREAK UP at the end of June
break up,Finish a relationship.,They had been going out for a couple of
break up,Become inaudible over the telephone,because of interference.You're BREAKING UP; I'll call you back
breeze in,Enter a place quickly.,He BREEZED IN and started shouting at
breeze into,Enter a place quickly.,He BREEZED INTO the room and
brick in,Close or fill a space with bricks.,We BRICKED IN the side window.
brick up,Close or fill a space with bricks.,We BRICKED the back entrance UP.
brighten up,Improve (weather).,The day started cloudy but
brighten up,Become happier.,He BRIGHTENED UP when he heard the
brighten up,Make something more attractive or,pleasant.We tried to BRIGHTEN the place UP by
bring about,Make something happen.,The changes to the law were BROUGHT
bring along,Bring someone or something to certain,place.You can BRING your friends ALONG if
bring along,Help someone improve.,Her coach has BROUGHT her ALONG a
bring back,Cause someone to remember.,Visiting my old school BROUGHT
bring back,Return.,He took the calculator home yesterday
bring down,Make a government fall.,The vote of no-confidence BROUGHT
bring down,Make something cheaper.,The improvements in technology have
bring forth,"Produce something, make it known or",visible.The prosecution BROUGHT FORTH a
bring forth,Produce.,She BROUGHT FORTH a surprising
bring forth,Make something happen.,The report has BROUGHT FORTH a lot
bring forth,Remove something from where it is kept,or hidden.She BROUGHT FORTH the diary and
bring in,Earn.,The job BRINGS IN two thousand
bring off,Succeed with something difficult.,"No one thought she'd manage to do it, but"
bring on,Cause something to happen or speed up,Getting wet in the rain yesterday
bring on,Make something appear.,BRING ON the dancers!
bring out,Release or publish.,The band are BRINGING OUT a new
bring out,Elicit a response.,Suzie BRINGS OUT the best in him.
bring out in,Cause a health problem or reaction.,It was the lobster that BROUGHT me
bring round,Make someone wake up from,unconsciousness or an anaesthetic.The doctors BROUGHT him ROUND a
bring up,Mention.,They didn't BRING the subject UP at the
bring up,Raise a child.,My parents BROUGHT me UP strictly.
bring up,Be officially charged with a crime.,He was BROUGHT UP on charges of
brush off,"Ignore, pay little attention.",The minister BRUSHED OFF the
brush up,Improve a skill quickly.,She took a two-week course to BRUSH
bubble over,Become very excited.,She BUBBLED OVER with joy when
buck up,Hurry (either transitive or reflexive). ',BUCK UP - the taxi's waiting.'
buck up,"Smarten up, improve.","You had better BUCK your ideas UP, or"
buckle up,Fasten a seatbelt.,We were told to BUCKLE UP before
budge up,Move to make space for someone.,We had to BUDGE UP to let the fourth
buff up,"Clear, clean or make something shine.",The silver candlestick looked lovely after
buff up,Improve.,"After the scandal, the politician tried to"
buff up on,Improve your knowledge quickly.,I BUFFED UP ON my grammar before
bug off,!,Go away.I told her to bug off because she was
bug out,Open your eyes wide in surprise.,He BUGGED OUT when she turned up.
